keyword	count	label
calculation	170	
intensive	170	
etc	170	
soc	170	
popular	169	
choice	169	
facility	168	
respectively	168	
becoming	168	
subject	167	
following	167	
notion	167	
segment	167	
supply	167	
surface	167	
importance	166	
improving	166	
near	166	
fpgas	166	
yet	165	
generic	165	
central	165	
llc	165	
cloud	165	
minimal	164	
overload	164	
base	164	
around	164	
fundamental	163	
depth	163	
trace	163	
pc	163	
pulse	163	
contrast	162	
enhancement	162	
promising	162	
delivery	162	
publisher	161	
uniprocessor	161	
conducted	161	
rather	161	
integrate	161	
driver	161	
graphic	160	
shape	160	
outperforms	159	
depends	159	
analyzing	159	
primary	159	
robustness	159	
entire	158	
maintain	158	
center	158	
simulated	157	
timely	157	
applicable	157	
community	157	
plant	157	
replication	157	
reconfiguration	157	
interactive	157	
peer	157	
criterion	156	
release	156	
literature	156	
connection	156	
prior	156	
crucial	156	
cmos	156	
query	156	
finding	155	
setting	155	
affect	155	
ad	155	
automated	155	
deployed	155	
final	155	
enough	154	
advance	154	
addressed	154	
determining	154	
dependability	154	
always	153	
employed	153	
proof	153	
switching	153	
verify	152	
simultaneously	152	
powerful	151	
performing	151	
statistical	151	
direction	151	
course	151	
locking	150	
relation	150	
modular	150	
enhance	150	
ltd	150	
subset	149	
random	149	
host	149	
composition	149	
particle	149	
carried	148	
balancing	148	
measured	148	
contention	148	
possibility	148	
operational	148	
collision	148	
exploration	148	
ray	148	
direct	147	
write	147	
relevant	147	
station	147	
lock	146	
selected	146	
game	146	
offline	146	
play	145	
reason	145	
strong	145	
maintaining	145	
involved	145	
overcome	145	
emerging	145	
binary	144	
occur	144	
internal	144	
top	144	
changing	144	
sensitive	144	
desired	143	
unpredictable	143	
operate	143	
produced	143	
specify	143	
yield	143	
classical	143	
card	143	
start	142	
enabling	142	
topology	142	
custom	142	
theoretical	141	
series	141	
modified	141	
sensing	141	
calibration	141	
mission	140	
meeting	140	
facilitate	140	
autonomous	140	
degradation	140	
explore	140	
queue	140	
manage	140	
electronic	140	
slack	139	
lack	139	
university	139	
solving	138	
formula	138	
computed	138	
processed	138	
trend	138	
upgrade	138	
last	137	
modeled	137	
varying	137	
hla	137	
inversion	136	
attention	136	
enhanced	136	
extraction	136	
rf	136	
integer	135	
broadcast	135	
analytical	135	
validate	135	
gap	135	
back	135	
engine	135	
decoder	135	
determined	134	
micro	134	
caused	134	
thereby	133	
sense	133	
predict	133	
hoc	133	
mainly	133	
computationally	132	
represent	132	
reuse	132	
dual	131	
transient	131	
modelling	131	
decrease	131	
namely	131	
stochastic	130	
larger	130	
integrating	130	
systematic	130	
branch	130	
past	130	
great	130	
fair	130	
growing	129	
perspective	129	
tradeoff	129	
plasma	129	
little	128	
observation	128	
assigned	128	
section	128	
progress	128	
check	128	
status	128	
uniform	128	
production	128	
automation	128	
observed	128	
close	127	
minimizing	127	
finite	127	
table	127	
relationship	126	
depending	126	
laboratory	126	
technical	126	
intelligent	125	
separate	124	
one	124	
exploiting	124	
named	124	
shelf	124	
ubiquitous	124	
sequential	123	
commonly	123	
established	123	
consisting	123	
organization	123	
proved	122	
investigated	122	
third	122	
guaranteeing	122	
unfortunately	122	
rapid	122	
noc	122	
interesting	121	
suited	121	
medical	121	
fit	121	
reactive	121	
expensive	121	
fine	120	
verified	120	
logical	120	
exist	120	
master	120	
slot	120	
onto	120	
pose	120	
encoder	120	
multicast	120	
programmer	119	
place	119	
leading	119	
preliminary	119	
tmo	119	
far	118	
requiring	118	
attack	118	
acceptable	118	
working	118	
cm	118	
greatly	117	
considers	117	
optimize	117	
earlier	117	
generating	117	
port	117	
entity	116	
allocated	116	
cover	116	
display	116	
redundancy	116	
manager	116	
instrument	116	
xilinx	116	
collider	116	
candidate	115	
unified	115	
formalism	115	
focused	115	
understanding	115	
networked	115	
applicability	114	
semantic	114	
serial	114	
dataflow	114	
reported	114	
command	114	
fps	114	
rtos	114	
collaboration	114	
difficulty	113	
maximize	113	
empirical	113	
side	113	
relatively	113	
comparing	113	
market	113	
question	112	
zero	112	
calculate	112	
avionics	112	
inherent	112	
intra	112	
get	112	
select	112	
already	112	
budget	112	
cot	112	
independently	111	
characterized	111	
ada	111	
duration	111	
written	111	
accurately	111	
demonstrates	111	
review	110	
precedence	110	
express	110	
added	110	
stored	110	
evolution	110	
air	110	
correlation	110	
farm	110	
testbed	109	
conflict	109	
register	109	
engineer	109	
unique	109	
partial	109	
visualization	109	
audio	109	
diagram	109	
identified	109	
consistent	109	
realized	109	
surveillance	109	
volume	109	
synthetic	109	
reality	109	
protection	109	
phone	109	
contains	108	
petri	108	
item	108	
despite	108	
setup	108	
assessment	107	
arm	107	
receiver	107	
coverage	107	
format	107	
reach	106	
integrates	106	
estimated	106	
relies	106	
smaller	106	
fusion	106	
cope	106	
plane	106	
additionally	106	
dc	106	
cern	106	
restriction	105	
variant	105	
generally	105	
latter	105	
slow	105	
identification	105	
hierarchy	105	
stability	105	
atm	105	
satellite	105	
stereo	105	
calorimeter	105	
pessimistic	104	
consequently	104	
microprocessor	104	
researcher	104	
desirable	104	
influence	104	
proper	104	
ensuring	104	
attempt	103	
detected	103	
create	103	
expert	103	
adapted	103	
integrity	103	
silicon	103	
dependable	103	
http	103	
electron	103	
decoding	103	
gpus	103	
examine	102	
stable	102	
identical	102	
intended	102	
keep	102	
combining	102	
exhibit	102	
pseudo	101	
formally	101	
constructed	101	
utilize	101	
involves	101	
normal	101	
clustering	101	
fuzzy	101	
quantitative	100	
might	100	
greater	100	
approximate	100	
representative	100	
separation	100	
mathematical	100	
consuming	100	
training	100	
de	100	
page	100	
hevc	100	
calculated	99	
opportunity	99	
though	99	
exchange	99	
allowed	99	
turn	99	
transport	99	
mac	99	
book	99	
pair	99	
closed	98	
matrix	98	
explicit	98	
comprehensive	98	
correction	98	
maintenance	98	
iterative	98	
pipelined	98	
propagation	98	
lifetime	98	
enterprise	98	
characterization	97	
showing	97	
heavy	97	
inside	97	
york	97	
extract	97	
portable	97	
created	97	
hit	97	
social	97	
longer	96	
optimistic	96	
proven	96	
prototyping	96	
detecting	96	
joint	96	
considerable	96	
semi	96	
boundary	96	
mapped	96	
muon	96	
evaluating	95	
graphical	95	
restricted	95	
enabled	95	
road	95	
refinement	94	
proposal	94	
forward	94	
team	94	
coupled	94	
secure	94	
anomaly	94	
neural	94	
tardiness	94	
proton	94	
assume	93	
represents	93	
permit	93	
utilizing	93	
log	93	
quite	93	
manufacturing	93	
look	93	
introducing	93	
successful	93	
uncertainty	93	
company	93	
networking	93	
configurable	93	
collaborative	93	
student	93	
imposed	92	
validated	92	
calculus	92	
similarity	92	
environmental	92	
magnitude	92	
suite	92	
index	92	
decomposition	92	
save	92	
consumer	92	
peak	92	
virtex	92	
published	91	
come	91	
extends	91	
generalized	91	
preserving	91	
weight	91	
sophisticated	91	
quickly	91	
equipped	91	
site	91	
charge	91	
implicit	91	
wavelet	91	
radiation	91	
tcp	91	
attribute	90	
offset	90	
illustrated	90	
count	90	
extremely	90	
collected	90	
mobility	90	
cyber	90	
controlling	89	
stringent	89	
completion	89	
starting	89	
fashion	89	
potentially	89	
coefficient	89	
coordinate	89	
focusing	89	
assuming	88	
generates	88	
strict	88	
translation	88	
chosen	88	
vlsi	88	
introduction	88	
copy	88	
movement	88	
head	88	
jpeg	88	
actuator	88	
cyclic	87	
planning	87	
discussion	87	
extending	87	
employing	87	
regarding	87	
match	87	
passing	87	
received	87	
iteration	87	
legacy	87	
actor	87	
hlt	87	
dram	87	
motivated	86	
rm	86	
communicating	86	
highest	86	
concurrently	86	
equation	86	
managed	86	
formulation	86	
statically	86	
laser	86	
completely	86	
sensitivity	86	
robotic	86	
cross	86	
gigabit	86	
keeping	86	
converter	86	
expressed	85	
occurrence	85	
specifying	85	
granularity	85	
drive	85	
solved	85	
risk	85	
session	85	
managing	85	
store	85	
tracker	85	
hadron	85	
represented	84	
equal	84	
comparable	84	
specialized	84	
imprecise	84	
transmitted	84	
mm	84	
add	84	
carry	84	
compositional	84	
compliant	84	
localization	84	
utilized	84	
avc	84	
followed	83	
extra	83	
diverse	83	
diagnostic	83	
instrumentation	83	
bottleneck	83	
equivalent	83	
template	83	
conversion	83	
atca	83	
neutrino	83	
wsns	83	
dimension	82	
ordering	82	
token	82	
fifo	82	
beyond	82	
violation	82	
ground	82	
alice	82	
put	81	
compatible	81	
almost	81	
ensures	81	
handled	81	
baseline	81	
raw	81	
grained	81	
projection	81	
histogram	81	
expression	80	
dealing	80	
primitive	80	
flight	80	
outline	80	
prevent	80	
lot	80	
acquired	80	
replica	80	
adc	80	
determines	79	
included	79	
synchronized	79	
reusable	79	
contain	79	
vme	79	
frequently	79	
rely	79	
api	79	
utilizes	79	
mesh	79	
body	79	
asic	79	
interoperability	79	
water	79	
band	79	
luminosity	79	
defines	78	
others	78	
symbolic	78	
al	78	
success	78	
representing	78	
investigates	78	
deliver	78	
hold	78	
depend	78	
option	78	
estimating	78	
collector	78	
khz	78	
orb	78	
national	78	
simultaneous	77	
tuning	77	
examined	77	
involving	77	
et	77	
topic	77	
invariant	77	
hz	77	
replacement	77	
realize	77	
accommodate	77	
assurance	77	
material	77	
rapidly	77	
decade	77	
captured	77	
db	77	
ion	77	
crate	77	
competitive	76	
exists	76	
explicitly	76	
intermediate	76	
understand	76	
exploited	76	
navigation	76	
nuclear	76	
placement	76	
distortion	76	
generator	76	
car	76	
pet	76	
consequence	75	
scan	75	
priori	75	
mandatory	75	
invocation	75	
completed	75	
structural	75	
serve	75	
remains	75	
radar	75	
numerous	75	
personal	75	
orientation	75	
extracted	75	
virtualization	75	
characterize	74	
ass	74	
ring	74	
identifying	74	
scope	74	
dissemination	74	
optimizing	74	
adequate	74	
minimization	74	
military	74	
urban	74	
coincidence	74	
laxity	73	
reasoning	73	
valid	73	
inheritance	73	
interpretation	73	
optional	73	
aimed	73	
unknown	73	
selecting	73	
communicate	73	
unlike	73	
artificial	73	
route	73	
fraction	73	
gesture	73	
fp	73	
layout	73	
firmware	73	
lhcb	73	
reasonable	72	
move	72	
structured	72	
fail	72	
properly	72	
adding	72	
behavioral	72	
arise	72	
aggregation	72	
presentation	72	
located	72	
pessimism	72	
shift	72	
suspension	72	
date	71	
redundant	71	
obtaining	71	
sound	71	
penalty	71	
describing	71	
whereas	71	
balance	71	
telecommunication	71	
intel	71	
photon	71	
suggest	71	
live	71	
spectral	71	
soa	71	
tdc	71	
acceptance	70	
offs	70	
traditionally	70	
consist	70	
incorporated	70	
player	70	
parallelization	70	
creation	70	
receive	70	
satisfying	70	
installed	70	
variability	70	
people	70	
dma	70	
router	70	
measuring	69	
force	69	
five	69	
portion	69	
coordination	69	
satisfied	69	
exception	69	
updated	69	
structuring	69	
foundation	69	
natural	69	
compact	69	
clear	69	
collect	69	
interact	69	
genetic	69	
text	69	
congestion	69	
sleep	69	
mb	69	
ceiling	68	
regular	68	
sent	68	
incremental	68	
category	68	
executable	68	
eliminate	68	
ever	68	
positioning	68	
calculating	68	
targeted	68	
attractive	68	
lightweight	68	
certification	68	
affected	67	
acceleration	67	
plan	67	
activation	67	
survey	67	
backplane	67	
operates	67	
guide	67	
correctly	67	
optimality	67	
facilitates	67	
document	67	
connectivity	67	
hop	67	
upgraded	67	
chamber	67	
tighter	66	
distinct	66	
answer	66	
clearly	66	
assumed	66	
iii	66	
spectrum	66	
superior	66	
lab	66	
latest	66	
quantization	66	
ilp	66	
dct	66	
wsn	66	
cps	66	
reader	65	
briefly	65	
addressing	65	
monitored	65	
showed	65	
establish	65	
pure	65	
containing	65	
locality	65	
organized	65	
shorter	65	
style	65	
realization	65	
peripheral	65	
compensation	65	
day	65	
approximately	65	
computes	65	
tdma	65	
split	65	
interconnect	65	
amplifier	65	
configured	65	
unnecessary	64	
concrete	64	
decide	64	
algebra	64	
trivial	64	
suggested	64	
guideline	64	
determinism	64	
fairness	64	
confidence	64	
missing	64	
hundred	64	
backup	64	
pci	64	
participant	64	
leakage	64	
ghz	64	
neutron	64	
idle	63	
actually	63	
deriving	63	
list	63	
sa	63	
offered	63	
verifying	63	
later	63	
creating	63	
simulate	63	
strength	63	
throughout	63	
equipment	63	
centralized	63	
public	63	
reward	63	
continuously	63	
explored	63	
nowadays	63	
inspection	63	
delivered	63	
huge	63	
rms	63	
jet	63	
highlight	63	
rtl	63	
moment	63	
mass	63	
scratchpad	63	
incorporates	62	
deadlock	62	
solver	62	
wait	62	
ram	62	
true	62	
package	62	
coarse	62	
room	62	
remove	62	
extensively	62	
aggregate	62	
curve	62	
desktop	62	
workflow	62	
spectrometer	62	
randomly	61	
conclude	61	
family	61	
vary	61	
strongly	61	
aircraft	61	
debugging	61	
technological	61	
transparent	61	
predicted	61	
numerical	61	
discipline	61	
ipc	61	
analyzes	61	
ranging	61	
absolute	61	
arithmetic	61	
augmented	61	
contour	61	
excellent	61	
switched	61	
commodity	61	
systemc	61	
marte	61	
accepted	60	
act	60	
retrieval	60	
emphasis	60	
implication	60	
poor	60	
incorporate	60	
minimizes	60	
minimized	60	
demanding	60	
drawback	60	
brief	60	
innovative	60	
half	60	
periodically	60	
counter	60	
remaining	60	
division	60	
assembly	60	
insight	60	
recursive	60	
gradient	60	
diagnosis	60	
instant	60	
defining	60	
driving	60	
wire	60	
fiber	60	
city	60	
belle	60	
argue	59	
firm	59	
late	59	
notation	59	
passive	59	
suffer	59	
aid	59	
destination	59	
tightly	59	
prone	59	
thousand	59	
trajectory	59	
bank	59	
home	59	
noaa	59	
commissioning	59	
infeasible	58	
missed	58	
conditional	58	
affecting	58	
believe	58	
nested	58	
record	58	
ready	58	
adjustment	58	
simplified	58	
analyzer	58	
drift	58	
investigation	58	
send	58	
transformed	58	
gray	58	
emission	58	
negligible	58	
experimentally	58	
ease	58	
enforcement	58	
validity	58	
compressed	58	
health	58	
responsible	58	
partially	58	
mc	58	
gamma	58	
leverage	58	
substantial	57	
phenomenon	57	
divided	57	
homogeneous	57	
explores	57	
formulate	57	
seen	57	
european	57	
voice	57	
alone	57	
convergence	57	
ideal	57	
decreasing	57	
angle	57	
sdl	57	
illustrates	57	
go	57	
scientific	57	
texture	57	
square	57	
emulation	57	
star	57	
iter	57	
conclusion	56	
otherwise	56	
achievable	56	
occurs	56	
atomic	56	
choose	56	
derivation	56	
regard	56	
avoiding	56	
caching	56	
complicated	56	
resolve	56	
microcontroller	56	
nasa	56	
induced	56	
patient	56	
former	56	
tackle	56	
simplifies	56	
carefully	56	
inspired	56	
tokamak	56	
hd	56	
serious	55	
allocate	55	
splitting	55	
accessed	55	
mutual	55	
try	55	
easier	55	
broad	55	
faulty	55	
know	55	
magnetic	55	
geometric	55	
closely	55	
maintained	55	
cooperation	55	
wave	55	
incorporating	55	
concerning	55	
eye	55	
valuable	55	
bounding	55	
hough	55	
appearance	55	
augmentation	55	
enhancing	55	
cellular	55	
identifies	55	
simplify	55	
besides	55	
amplitude	55	
ten	54	
allocating	54	
adjust	54	
acm	54	
provision	54	
compatibility	54	
synthesized	54	
enforce	54	
extent	54	
international	54	
routine	54	
newly	54	
post	54	
provider	54	
gained	54	
led	54	
slice	54	
shadow	54	
disparity	54	
interpolation	54	
accelerate	54	
epic	54	
cosmic	54	
conservative	53	
simply	53	
seek	53	
writing	53	
handler	53	
pipelining	53	
emptive	53	
precisely	53	
responsiveness	53	
follows	53	
conjunction	53	
motivation	53	
vhdl	53	
possibly	53	
checkpoint	53	
updating	53	
ongoing	53	
nonlinear	53	
see	53	
fly	53	
annotation	53	
illumination	53	
viable	53	
centric	53	
broker	53	
person	53	
gb	53	
east	53	
dvfs	53	
exponential	52	
concerned	52	
integral	52	
multiplexing	52	
rendering	52	
word	52	
heart	52	
portability	52	
electrical	52	
multitasking	52	
builder	52	
primarily	52	
operated	52	
adapting	52	
pfair	52	
impossible	52	
confirm	52	
gaussian	52	
adoption	52	
sw	52	
bunch	52	
amc	52	
recorded	51	
toolkit	51	
constructing	51	
layered	51	
never	51	
assigning	51	
reveal	51	
usefulness	51	
indicates	51	
likely	51	
microkernel	51	
history	51	
considerably	51	
strip	51	
threaded	51	
interested	51	
rta	51	
rti	51	
multithreaded	51	
asymmetric	51	
greedy	51	
accessing	51	
profiling	51	
big	51	
wind	51	
conduct	51	
devs	51	
satisfies	50	
algorithmic	50	
referred	50	
compilation	50	
ic	50	
modifying	50	
subsequent	50	
picture	50	
geometry	50	
assist	50	
growth	50	
deep	50	
explain	50	
dispatching	50	
comprises	50	
promise	50	
mostly	50	
intensity	50	
bridge	50	
gov	50	
pervasive	50	
