	title	label
66	Experiments with a program timing tool based on source-level timing schema	0
67	Queuing spin lock algorithms to support timing predictability	0
68	A stack-based resource allocation policy for realtime processes	2
69	Addressing real-time constraints in the design of autonomous agents	2
70	Enhancing real-time DBMS performance with multiversion data and priority based disk scheduling	0
71	Comparative evaluation of high-level real-time programming languages	0
72	Results about fast mutual exclusion	0
73	Transition scheduling in (multiclass real-time database systems	0
74	Polynomial-time transformations and schedulability analysis of parallel real-time programs with restricted resource contention	2
75	Performance analysis of FCFS and improved FCFS scheduling algorithms for dynamic real-time computer systems	2
76	Feasible processor allocation in a Hard-Real-Time environment	2
77	Dealing with different time granularities in formal specifications of real-time systems	0
78	Fast algorithms for scheduling imprecise computations	2
79	Hybrid protocols using dynamic adjustment of serialization order for real-time concurrency control	0
80	A calculus for communicating systems with time and probabilities	3
81	VERIFICATION AND VALIDATION OF REAL-TIME SOFTWARE.	0
82	Application semantics and concurrency control of real-time data-intensive applications	0
83	Cy-Clone: An approach to the engineering of resource adequate cyclic real-time systems	0
84	Real-time Concurrent C: A language for programming dynamic real-time systems	0
85	Timed high-level nets	0
86	Time-constrained reasoning under uncertainty	0
87	HARTIK: A real-time kernel for robotics applications	2
88	PERTS: A prototyping environment for real-time systems	0
89	Allocation of periodic task modules with precedence and deadline constraints in distributed real-time systems	3
90	Monitoring timing constraints in distributed real-time systems	3
91	Applying compiler techniques to scheduling in real-time systems	2
92	RTSL: A language for real-time schedulability analysis	2
93	High-Level Timed Petri Nets as a kernel for executable specifications	0
94	An improved hard real-time scheduling for the IEEE 802.5	2
95	The transient server approach to scheduling time-critical recovery operations	2
96	Scheduling I/O requests with deadlines: A performance evaluation	0
97	SMART (strategic memory allocation for real-time) cache design using the MIPS R3000	0
98	Object-based semantic real-time concurrency control	0
99	Semantics-based compiler transformations for enhanced schedulability	2
100	IPTES: A concurrent engineering approach for real-time software development	0
101	The IPTES environment: Support for incremental, heterogeneous and distributed prototyping	3
102	A partial evaluator for the Maruti hard real-time system	0
103	Fastchart - A fast time deterministic CPU and hardware based real-time-kernel	4
104	Program representation and translation for predictable real-time systems	0
105	The ARTS real-time object model	0
106	Depth-limited search for real-time problem solving	0
107	Concepts, methods, and languages for building timely intelligent systems	4
108	Time bounds for real-time process control in the presence of timing uncertainty	0
109	Scheduling parallelizable jobs on multiprocessors	2
110	Forecasting real-Time behavior during software design using a CASE environment	0
111	On-line scheduling of imprecise computations to minimize error	2
112	An object oriented model for parallel and reactive systems	3
113	Predictable synchronization mechanisms for multiprocessor real-time systems	4
114	Developing correct systems	4
115	Spring scheduling co-processor: Design, use, and performance	2
116	Graphical animation as a form of prototyping real-time software systems	0
117	The input-output control of real-time discrete event systems	0
118	RTC: Language support for real-time concurrency	3
119	Concurrency control in real-time databases by dynamic adjustment of serialization order	0
120	Concurrency control in real-time databases by dynamic adjustment of serialization order	0
121	Object-oriented design of real-time software	0
122	New probabilistic algorithm for clock synchronization	0
123	MT: A toolset for specifying and analyzing real-time systems	0
124	How to get serializability for real-time transactions without having to pay for it	0
125	An executable subset of VDM-SL in an SA/RT framework	0
126	FASTHARD - A fast time deterministic HARDware based real-time kernel	4
127	A verifier for real-time properties	0
128	Real-time features for Ada 9X	2
129	Real-time scheduling support in Futurebus+	2
130	A tagged memory technique for recovery from transient errors in fault tolerant systems	4
131	Implementing a verifier for real-time systems	0
132	Dual-mode instruction prefetch scheme for improved worst case and average case program execution times	0
133	Integrated management of priority inversion in Real-Time Mach	0
134	Distributed execution of specifications	3
135	Hartstone distributed benchmark: Requirements and definitions	0
136	On the competitiveness of on-line real-time task scheduling	2
137	A static scheduling algorithm for distributed hard real-time systems	2
138	Language support for the maruti real-time system	2
139	RTMMS-An OSI-based real-time messaging system	0
140	Distributed fault tolerant architecture for nuclear reactor control and safety functions	0
141	A tool for the computation of worst case task execution times	0
142	Use of preemptive priority-based scheduling for space applications	2
143	Scheduling and communication in MetaH	0
144	A formalization of priority inversion	0
145	Early experience with POSIX 1003.4 and POSIX 1003.4 A	0
146	A graphical tool for specification of reactive systems	0
147	SMART (strategic memory allocation for real-time) cache design using the MIPS R300	0
148	Time capsules: An abstraction for access to continuous-media data	0
149	Real-time system scenarios	3
150	Preemptive scheduling with release times and deadlines	0
151	Priority inversions in real-time communication	0
152	Transformational method for verifying safety properties in real-time systems	0
153	Analysis of a synchronization and scheduling discipline for real-time tasks with preemption constraints	2
154	Formal analysis of real-time equational rule-based systems	0
155	Really visual temporal reasoning	0
156	Dual priority assignment: A practical method for increasing processor utilisation	2
157	The Airplane Information Management System: An integrated real-time flight-deck control system	4
158	An algorithm for real-time fault-tolerant scheduling in multiprocessor systems	2
159	Scheduling real-time communication on dual-link networks	1
160	Bounds on the performance of heuristic algorithms for multiprocessor scheduling of hard real-time tasks	2
161	Preemptibility in real-time operating systems	0
162	Correspondence: Criticality and utility in the next generation	0
163	Efficient synchronization of clocks in a distributed system	3
164	Towards an automatic synthesis system for real-time software	0
165	A robust group membership algorithm for distributed real-time systems	1
166	Applying compiler techniques to scheduling in real-time systems	2
167	Priority inheritance and message passing communication: A formal treatment	2
168	MRL: A real-time rule-based production system	0
169	A robust group membership algorithm for distributed real-time systems	1
170	Greed in resource scheduling	2
171	Real-time medical image processing.	0
172	Bandwidth allocation scheme for time constrained message transmission on a slotted ring LAN	0
173	Acquisition and service of temporal data for real-time plant monitoring	0
174	Performance evaluation of a bandwidth allocation scheme for guaranteeing synchronous messages with arbitrary deadlines in an FDDI network	1
175	A comparison of four microcomputer operating systems	0
176	Specification of embedded, real-time systems	0
177	Load sharing with consideration of future task arrivals in heterogeneous distributed real-time systems	0
178	A priority ceiling protocol for multiple-instance resources	0
179	Clairvoyance, capricious timing faults, causality, and real-time specifications	0
180	Guaranteed task deadlines for fault-tolerant workloads with conditional branches	2
181	Global cyclic scheduling: A method to guarantee the timing behavior of distributed real-time systems	2
182	Agreeing on a leader in real-time	0
183	Resource reclaiming in real time	0
184	Analysis of three contention protocols in distributed real-time systems	0
185	Application of real-time monitoring to scheduling tasks with random execution times	2
186	Verifying properties of systems with variable timing constraints	0
187	Minimizing mean flow time with error constraint	0
188	On-line scheduling for checkpointing imprecise computation	2
189	Real-time system prototyping based on a heterogeneous multi-processor environment	0
190	A Petri net based modelling and synthesis technique for real-time systems	0
191	Real-time issues in computer music	0
192	Let's PARTY: Process Algebra with Real-Rime from York	0
194	Optimization in real time	0
195	Version selection schemes for hard real-time communications	1
196	Dynamic planning based control of autonomous machine	0
197	The diffusion model based task remapping for distributed real-time systems	1
198	Language support for the Maruti real-time system	2
199	Time capsules: An abstraction for access to continuous-media data	0
200	Experiments with a program timing tool based on source-level timing schema	0
202	From CHAOSbase to CHAOSarC: A family of real-time kernels	3
203	MELODY: A completely decentralized adaptive file system for handling real-time tasks in unpredictable environments	3
204	An application of structural modeling and automated reasoning to real-time systems design	0
205	Programmable real-time scheduler using a neurocomputer	1
206	Real-time temporal logic decision procedures	0
207	Some properties of double-ring networks with real-time constraints	1
208	Transient overloads in fault-tolerant real-time systems	0
209	Analysis of real-time properties and rules for setting protocol parameters of MAP networks	1
210	Toward the deterministic scheduling of Ada tasks	2
211	SOME EXAMPLES OF MULTIPROCESSOR BUSES.	0
212	DIGITAL IMAGE PROCESSOR FOR AUTOMATIC TARGET CUEING, NAVIGATION, AND CHANGE DETECTION.	0
213	Dynamic replacement of software in hard real-time systems	0
214	RTX-Parlog: Real-time extended Parlog	2
216	Timing analysis of MRL: A real-time rule-based system	0
217	Modeling and evaluating the feasibility of timing constraints under different real-time scheduling algorithms	0
218	Performance effects of information sharing in a distributed multiprocessor real-time scheduler	2
219	Time interval semantics and implementation of a real-time programming language	0
220	The programmer's view of MARS	0
221	A priority forwarding scheme for real-time multistage interconnection networks	1
222	Allocating SMART cache segments for schedulability	0
223	Using objects and actions to provide fault tolerance in distributed, real-time applications	0
224	A requirements specification method for adaptive real-time systems	0
225	A partial evaluator for the Maruti hard real-time system	0
226	MACS: A predictable architecture for real time systems	0
227	Real-time system scenarios	3
228	A study on the timeliness property in real-time systems	2
229	New latency bounds for atomic broadcast	3
230	Usability of the Ada tasking model	0
231	Real-time communication in multiple token ring networks	1
232	Dataflow computer extension towards real-time processing	2
233	Fault-tolerant microcomputer for advanced control: Architecture and performability analysis	4
234	Communicating shared resources: A model for distributed real-time systems	3
235	The OR dataflow architecture for a machine embedded control system	0
236	On the efficiency of cautious schedulers for database concurrency control-Why insist on two-phase locking?	0
237	STATISTICAL TESTING OF REAL TIME SOFTWARE.	0
238	SYSTEMATIC TESTING.	0
239	Real-time disk scheduling based on urgent group and shortest seek time first	2
240	Symbolic model checking for event-driven real-time systems	0
241	A real-time kernel implemented in one chip	4
242	Analytical study of quantitative timing properties of software	0
243	MOCA: A multiprocessor on-line competitive algorithm for real-time system scheduling	2
244	Specification and verification of a distributed real-time arbitration protocol	3
245	Architectural considerations in the design of real-time kernels	0
246	On the scheduling of hyperperiodic tasks	2
247	An approach towards predictable real-time transaction processing	0
248	ReaGOS - An application specific R/T-OS	0
249	Effective implementation of ESTEREL programs	0
250	Conceptual modeling of families of real-time systems	0
251	Real time: Further misconceptions or half-truths	0
252	Deadlock prevention in concurrent real-time systems	0
254	Real-time process server for the micro-kernel based Alcatel Elin operating system testbed (AEOS)	0
255	Deadline scheduling in fault tolerant real time systems	2
256	A proof theory for asynchronously communicating real-time systems	0
257	Bounds on the time to detect failures using bounded-capacity message links	3
258	A new approach to real-time transaction	0
259	A simple assertional proof system for real-time systems	0
260	Modeling of distributed real-time systems in DisCo	2
261	Predictable hard real-time scheduling	2
262	An upper and a lower bound for tick synchronization	0
263	Absolute and relative temporal constraints in hard real-time databases	0
264	Adaptive threshold-based scheduling for real-time and non-real-time traffic	2
265	A virtual memory system for real-time applications	0
266	A small real-time kernel proven correct	0
267	Real time software control system for the NERO wall climbing robot	0
268	Synchronous programming of a real-time microcontroller	0
269	The design of D.A.R.T.S.: A dynamic debugger for multiprocessor real-time applications	0
270	Embedding time granularity in logical specifications of real-time systems	0
271	Scheduling time constrained messages on miniMAP	1
272	Survey of real-time and on-line diagnostic expert systems	0
273	Time capsules: An abstraction for access to continuous-media data	0
274	Specification and verification of real-time embedded systems using time-constrained reactive automata	0
275	KOS™: A knowledge-based operating system for real-time onboard applications of artificial intelligence	0
276	RTDB: A real-time database manager for time-critical applications	0
277	Implementing a verifier for real-time systems	0
278	Real-time communication in multiple token ring networks	1
279	Strategies for predictability in real-time data-flow architectures	0
280	Resource reclaiming in real time	0
281	The ARTS real-time object model	0
282	Real-time scheduling support in Futurebus	2
283	From CHAOSbase to CHAOSarc: A family of real-time kernels	0
284	Maintaining global time in futurebus+	0
285	A proof system for communicating shared resources	0
286	Strategies for predictability in real-time data-flow architectures	0
287	Batch process control	0
288	Fixing some time-related problems in Ada	3
289	Minimizing the number of late tasks with error constraint	0
290	Real-time Ada. Outstanding problem areas	0
291	On-line routing of real-time messages	0
292	Incremental garbage collection of concurrent objects for real-time applications	0
294	Real-time control software for transaction processing based on colored safe Petri Net model	0
295	Algorithm-based error detection for signal processing applications on a hypercube multiprocessor	4
296	Distributed real-time language and its operational semantics	3
297	Events: A structuring mechanism for a real-time runtime system	0
298	Token-ring adapter-chipset architectural considerations for real-time systems	2
299	MULTIPROCESSOR BENCHMARKS.	0
300	MULTI-MICROPROCESSOR SYSTEMS FOR REAL-TIME APPLICATIONS.	0
303	LOW-CONTRAST IMAGING.	0
304	REAL-TIME MICROWAVE RADIOMETRIC IMAGER.	0
305	NEAR REAL TIME IMAGE INTERPRETATION.	0
307	Real-time systems control based on object oriented concepts and Petri nets	0
308	FASTCHART - Performance, benefits and disadvantages of the architecture	4
309	Object-oriented knowledge representation and real-thne problem-solving	0
311	A time-driven extension for a commercial multi-purpose operating system	2
313	Implementation of a synchronous execution machine on Chorus micro-kernel	0
314	Control systems software	0
315	A distributed computer testbed for real-time control of machinery	3
316	Executable object-oriented graphical models of real-time software	0
318	Models for real-time supervision	0
319	Meeting task deadlines in a community of cooperative intelligent systems	0
320	An object-oriented representation of real-time application domains	3
321	Highly integrated task and resource scheduling for mission-critical systems	2
322	Highly multi-tasking real-time systems and their evaluation	2
323	Customer oriented requirements analysis of real-time systems	0
324	High level tools for the debugging of real-time multiprocessor systems	4
325	New Petri net based formalism for specification, design and analysis of real-time systems	0
327	A synchronous/asynchronous approach to robot programming	0
329	Synchronous/asynchronous approaches for intelligent real-time systems	0
330	Concurrency control algorithm for real-time tasks with read/write operations	0
331	Validation of design for space launch vehicles	0
332	Reliability of event-triggered task activation for hard real-time systems	2
333	An object-oriented framework for designing hard real-time systems	0
334	Continuous real time models in practice	0
336	Unity, as a tool for reactive systems specification and derivation	0
339	RTC: Language support for real-time concurrency	3
340	ALBATROSS - The communication scheme as a key to fulfil hard real-time constraints	1
341	Design of a real-time computer system for relative position robot control	4
342	NewThink - An Orwellian specification language for real-time safety critical systems	0
343	On-line monitoring of real-time systems	0
344	A processor for time-varying digital audio filters with special transition properties	0
345	Software models for real-time systems	0
346	Real-time monitoring and diagnosing of robotic assembly with self-organizing neural maps	0
347	An overview of TCCS	0
349	The refinement of real-time systems	0
350	A programmable video coder based on transputers	1
351	A compositional method for the top-down design of real-time systems	3
352	When object-oriented operating system is time critical	0
353	Ada gets groomed for the whole spectrum of real-time duties	0
354	Pipelined embedding via dual-hypercubes for real time computing	0
355	Provable transient recovery for frame-based, fault-tolerant computing systems	0
356	A behavior analyzer for real-time and multiprocessor applications	4
357	Color-based visualisation of hard real-time prototyping	0
358	Real time object communication protocol for incremental and distributed prototyping	3
359	Time and probabilities in specification and verification of real-time systems	3
360	Scheduling critical and sensitiue tasks with remote requests in mission-critical systems	2
361	Simulation and implementation of clock synchronisation in transputer networks	1
362	An enhanced snoopy cache design for real-time multi-processing	0
364	Handling Real-Time communication constraints in a mobile station used for the pan European digital mobile communication network	1
365	An operating environment for control systems on transputer networks	3
366	The space shuttle launch computer control system at NASA Kennedy Space Center	0
367	Real-time system validation by model checking in TRIO	0
368	A temporal logic-based model of event-driven nets	3
369	Theta: An object-oriented operating system for intelligent process monitoring	0
370	On board data fusion and decision system used for obstacle detection: A network and a real time approach	0
371	Distributed time-management in transputer networks	3
372	Remote procedure call protocols for real-time systems	1
373	Real-time architecture for knowledge processing systems	4
374	Real-time action	2
375	Can the advantages of RISC be utilized in real time systems?	4
376	A complexity control strategy for large system models	0
377	KSE: A real-time expert system to diagnose nuclear power plant failures	0
378	Hard real-time prototyping of SA/RT specifications	2
379	A task scheduling scheme for real-time multi-robotics systems	2
380	Reactions: An activation scheme specification language	0
381	Static and dynamic scheduling of sporadic tasks for single-processor systems	2
382	MRL: A real-time rule-based production system	0
383	Incremental garbage collection of concurrent objects for real-time applications	0
384	Specifying and verifying a real-time priority queue with modal algebra	0
385	On-line routing of real-time messages	0
386	A proof system for communicating shared resources	0
387	Scalability of a distributed real-time resource counter	3
388	Structuring large real-time systems with performance polymorphism	0
389	Agreeing on a leader in real-time	0
390	A tagged memory technique for recovery from transient errors in fault tolerant systems	4
391	Minimizing the number of late tasks with error constraint	0
392	New latency bounds for atomic broadcast	3
393	Analysis of three contention protocols in distributed real-time systems	0
394	A hierarchical approach to systems with heterogeneous real-time requirements	2
397	Scalability of a distributed real-time resource counter	3
399	Ada support for real-time systems	0
400	Real-time software using MASCOT	2
401	Robot control	0
402	DDC in the process industries	3
403	Active control of a modern fighter aircraft	0
404	Discrete controller design	0
405	Asynchronous communication in Ada	0
406	Specifying and verifying a real-time priority queue with modal algebra	0
407	Ada requirements for small real-time systems	4
409	Parallel processing for computer control	0
410	Modelling, simulation and control of direct fired liquid gas vaporisers	0
411	Practical aspects of implementing PID controllers	0
412	Design of software for real-time system	3
413	Multivariable control system design	0
414	Virtual nodes and units of distribution for distributed Ada	0
415	Computer control for patient care	0
416	Automatic tuning of commercial PID controllers	0
417	Real-time computer networking	3
418	Software fault tolerance	4
419	Ramifications of re-introducing asynchronous exceptions to the Ada language	3
420	Computer Control of Real-Time Process	0
421	Object oriented approach to virtual nodes. Are package types an answer?	1
425	Real-time file performance of a completely decentralized adaptive file system	3
426	Decomposition approach to non-preemptive scheduling in hard real-time systems	2
427	From synchronous intensional programming to efficient implementation	0
428	Nearly Poisson transfer traffic in real-time networks	1
429	Framework for specification and design of software for advanced sensor systems	2
430	Fast sensor corrections of robot motion paths processed in real-time by control algorithms running in parallel	0
431	Tasking model for reactive systems	0
432	Signal processor architecture for high-performance real-time applications	0
435	PERFORMANCE ANALYSIS OF MULTIPROCESSOR SYSTEMS.	0
436	DESIGN OF MULTIPROCESSOR BUSES.	0
437	MULTIPROCESSOR SYSTEM ARCHITECTURE.	0
438	STRUCTURAL ANALYSIS AND PROOF.	0
439	SIMULATION AND SYSTEM VALIDATION.	0
440	TOMP SOFTWARE.	0
441	SOFTWARE RELIABILITY AND THE SOFTWARE LIFE-CYCLE.	0
442	HARDWARE MODULES FOR MULTIPROCESSOR SYSTEMS.	4
460	AN/AAD-5 INFRARED SENSOR.	0
462	IMFRAD (INTEGRATED MULTIPLE FREQUENCY RADAR): A FOLIAGE PENETRATION AND CUEING RADAR.	0
465	RF-15: RECONNAISSANCE DERIVATIVE OF THE F-15.	4
466	VARIABLE ACUITY REMOTE VIEWING SYSTEM (VARVS).	0
467	IMAGING SENSORS FOR RPVS.	0
469	USAF QUICK STRIKE RECONNAISSANCE PROGRAM.	0
470	TARGET SCREENER/FLIR SYSTEM.	0
472	An extendible approach for analyzing fixed priority hard real-time tasks	2
473	Dynamic and aggressive scheduling techniques for power-aware real-time systems	0
474	Scheduling aperiodic tasks in dynamic priority systems	0
475	Fixed priority pre-emptive scheduling: An historical perspective	2
476	Analysing real-time communications: Controller area network (CAN)	1
477	Scheduling real-time applications in an open environment	0
478	Integrating multimedia applications in hard real-time systems	0
479	Fast and precise WCET prediction by separated cache and path analyses	0
480	Computing Maximum Task Execution Times - A Graph-Based Approach	0
481	On task schedulability in real-time control systems	0
482	Schedulability analysis for tasks with static and dynamic offsets	3
483	Resource allocation model for QoS management	0
484	Generalized multiframe tasks	0
485	Efficient and precise cache behavior prediction for real-time systems	0
486	Static-priority scheduling on multiprocessors	2
487	Early-release fair scheduling	2
488	Timing analysis for instruction caches	0
489	Analysis of hard real-time communications	0
490	Worst case execution time analysis for a processor with branch prediction	0
491	Timing anomalies in dynamically scheduled microprocessors	0
492	Determining optimal processor speeds for periodic real-time tasks with different power characteristics	2
493	Real-time vision-based system for textile fabric inspection	1
494	Aperiodic servers in a deadline scheduling environment	2
495	Proportional share resource allocation algorithm for real-time, time-shared systems	0
496	Utilization Bounds for N-Processor Rate Monotone Scheduling with Static Processor Assignment	2
497	MAST: Modeling and analysis suite for real time applications	3
498	Improvement in feasibility testing for real-time tasks	0
499	Real-time queueing theory	0
500	Worst-case utilization bound for EDF scheduling on real-time multiprocessor systems	2
501	The case for feedback control real-time scheduling	2
502	User-oriented QoS analysis in MPEG-2 video delivery	1
503	Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems	3
504	Efficient verification of real-time systems: compact data structure and state-space reduction	1
505	Real-Time Tracking of Plant Rows Using a Hough Transform	4
506	A comparison of static analysis and evolutionary testing for the verification of timing constraints	0
507	Supporting timing analysis by automatic bounding of loop iterations	0
508	Elastic task model for adaptive rate control	0
509	Integrated path and timing analysis method based on cycle-level symbolic execution	0
510	HRT-HOOD: A structured design method for hard real-time systems	0
511	Resource partition for real-time systems	2
512	Analysis of checkpointing for real-time systems	0
513	Hytech: the next generation	0
514	Probabilistic performance guarantee for real-time tasks with varying computation times	0
515	A hyperbolic bound for the rate monotonic algorithm	0
516	Synthesis techniques for low-power hard real-time systems on variable voltage processors	2
517	Global Positioning System (GPS) Time Dissemination for Real-Time Applications	0
518	Efficient aperiodic service under earliest deadline scheduling	0
519	Efficient microarchitecture modeling and path analysis for real-time software	0
520	Bounding worst-case instruction cache performance	0
521	Fast electronic digital image stabilization for off-road navigation	4
522	Allocating fixed-priority periodic tasks on multiprocessor systems	2
523	Fault-Tolerant Rate-Monotonic Scheduling	0
524	Skip-over: algorithms and complexity for overloaded systems that allow skips	2
525	Integrating the timing analysis of pipelining and instruction caching	0
526	The design and performance of a real-time CORBA scheduling service	2
527	Minimizing memory utilization of real-time task sets in single and multi-processor systems-on-a-chip	0
528	Priority scheduling versus pre-run-time scheduling	2
529	Scalable solution to the multi-resource QoS problem	0
530	Real-time Industrial Visual Inspection: A Review	0
531	Broadcast on demand: efficient and timely dissemination of data in mobile environments	2
532	Efficient implementation of the Hough Transform for detecting vehicle license plates using DSP's	0
533	Real-time 3D hand posture estimation based on 2D appearance retrieval using monocular camera	0
534	Cache modeling for real-time software: Beyond direct mapped instruction caches	0
535	A scheduling algorithm for tasks described by time value function	2
536	Dual priority scheduling	2
537	HLS: A framework for composing soft real-time schedulers	2
538	Jitter compensation for real-time control systems	2
539	Fixed-priority-driven open environment for real-time applications	2
540	Verifying Timing Constraints of Real-Time Systems by Means of Evolutionary Testing	0
541	Dynamic end-to-end guarantees in distributed real time systems	2
542	Taxonomy for QoS specifications	0
543	Dynamic time warping for off-line recognition of a small gesture vocabulary	0
544	A feedback control approach for guaranteeing relative delays in web servers	0
545	Design and evaluation of a feedback control EDF scheduling algorithm	2
546	Fixed-priority preemptive multiprocessor scheduling: To partition or not to partition	2
547	Formal modeling and analysis of an audio/video protocol: an industrial case study using UPPAAL	0
548	On-line scheduling on uniform multiprocessors	2
549	Real-time face pose estimation	4
550	Statistical rate monotonic scheduling	2
551	Supporting real-time traffic on Ethernet	1
552	Exploiting precedence relations in the schedulability analysis of distributed real-time systems	3
553	Dynamic quality of service middleware agent for mediating application resource usage	0
554	A scheme for scheduling hard real-time applications in open system environment	0
555	Reducing the number of clock variables of timed automata	0
556	Enhanced fixed-priority scheduling with (m,k)-firm guarantee	2
557	Cesiumspray : A Precise and Accurate Global Time Service for Large-scale Systems	0
558	Value vs. deadline scheduling in overload conditions	2
559	A survey of research in deliberative real-time artificial intelligence - Invited paper	0
560	A modular and retargetable framework for tree-based WCET analysis	0
561	Pfair scheduling: Beyond periodic task systems	2
563	Practical solutions for QoS-based resource allocation problems	0
564	Framework for scheduler synthesis	0
565	Visual assessment of a real-time system design: A case study on a CNC controller	0
566	Compositional and symbolic model-checking of real-time systems	0
567	The generalized railroad crossing: A case study in formal verification of real-time systems	0
568	Image Reconstruction From Projections	0
569	Improved scheduling of control tasks	0
570	Timing analysis for data caches and set-associative caches	0
571	A real-time edge detector: Algorithm and VLSI architecture	0
572	Interval-based Clock Synchronization	0
573	Hard real-time communication in multiple-access networks	1
574	QoS guarantee using probabilistic deadlines	2
575	Real-time tracking of moving objects with an active camera	0
576	Statistical analysis of WCET for scheduling	0
577	Combining abstract interpretation and ILP for microarchitecture modelling and program path analysis	0
578	Real-time quantized optical flow	0
579	Context-sensitive middleware for real-time software in ubiquitous computing environments	0
580	On quality of service optimization with discrete QoS options	0
581	Time-triggered model of computation	0
583	Theory of rate-based execution	2
584	Specification and modeling of dynamic, distributed real-time systems	0
585	Fast broadcasting for hot video access	0
587	Rate modulation of soft real-time tasks in autonomous robot control systems	2
588	Pfair scheduling of fixed and migrating periodic tasks on multiple resources	0
589	Timed test cases generation based on state characterization technique	0
590	Improved Response-Time Analysis calculations	0
591	Non-preemptive scheduling of messages on controller area network for real-time control applications	2
592	Scheduling the CAN bus with Earliest Deadline techniques	1
593	A hybrid approach to data distribution management	0
594	Achieving real-time communication over Ethernet with adaptive traffic smoothing	1
595	Combining static worst-case timing analysis and program proof	0
596	Feedback control scheduling in distributed real-time systems	3
597	Mixed Pfair/ERfair scheduling of asynchronous periodic tasks	2
598	A survey of application layer techniques for adaptive streaming of multimedia	1
599	Scalable real-time system design using preemption thresholds	2
600	Real-time queueing network theory	1
601	Joint scheduling of distributed complex periodic and hard aperiodic tasks in statically scheduled systems	3
602	Pose estimation using point and line correspondences	0
603	Real-time ultrasound imaging simulation	0
604	Two examples of verification of multirate timed automata with Kronos	0
605	A Survey of Multimedia Compression Techniques and Standards. Part I: JPEG Standard	0
606	Tools for specifying real-time systems	0
607	A new randomized algorithm for detecting lines	0
608	Using the active appearance algorithm for face and facial feature tracking	0
609	Greedy reclamation of unused bandwidth in constant-bandwidth servers	2
610	Timing analysis for data and wrap-around fill caches	0
